Date,Tiker,Price
2018-08-27,TIK1,25.260000
2018-08-28,TIK1,25.049999
2018-08-29,TIK1,25.200001
2018-08-30,TIK1,24.889999
2018-08-31,TIK1,25.170000
2018-09-04,TIK1,28.059999
2018-09-05,TIK1,28.510000
2018-09-06,TIK1,27.840000
2018-09-07,TIK1,27.379999
2018-09-10,TIK1,29.889999
2018-09-11,TIK1,30.100000
2018-09-12,TIK1,32.209999
2018-09-13,TIK1,30.480000
2018-09-14,TIK1,32.720001
2018-09-17,TIK1,32.430000
2018-09-18,TIK1,31.930000
2018-09-19,TIK1,31.209999
2018-09-20,TIK1,31.180000
2018-09-21,TIK1,31.020000
2018-09-24,TIK1,32.610001
2018-09-25,TIK1,32.570000
2018-09-26,TIK1,32.189999
2018-09-27,TIK1,32.590000
2018-09-28,TIK1,30.889999
2018-10-01,TIK1,31.420000
2018-10-02,TIK1,29.020000
2018-10-03,TIK1,28.430000
2018-10-04,TIK1,27.780001
2018-10-05,TIK1,27.350000
2018-10-08,TIK1,26.459999
2018-10-09,TIK1,27.240000
2018-10-10,TIK1,25.000000
2018-10-11,TIK1,25.299999
2018-10-12,TIK1,26.340000
2018-10-15,TIK1,26.260000
2018-10-16,TIK1,28.180000
2018-10-17,TIK1,27.299999
2018-10-18,TIK1,26.620001
2018-10-19,TIK1,23.660000
2018-10-22,TIK1,25.030001
2018-10-23,TIK1,25.090000
2018-10-24,TIK1,22.790001
2018-10-25,TIK1,19.270000
2018-10-26,TIK1,17.629999
2018-10-29,TIK1,16.850000
2018-10-30,TIK1,17.200001
2018-10-31,TIK1,18.209999
2018-11-01,TIK1,20.219999
2018-11-02,TIK1,20.230000
2018-11-05,TIK1,19.900000
2018-11-06,TIK1,20.680000
2018-11-07,TIK1,21.840000
2018-11-08,TIK1,21.200001
2018-11-09,TIK1,21.030001
2018-11-12,TIK1,19.030001
2018-11-13,TIK1,19.610001
2018-11-14,TIK1,20.809999
2018-11-15,TIK1,21.490000
2018-11-16,TIK1,20.660000
2018-11-19,TIK1,19.110001
2018-11-20,TIK1,19.209999
2018-11-21,TIK1,18.730000
2018-11-23,TIK1,19.379999
2018-11-26,TIK1,20.080000
2018-11-27,TIK1,21.049999
2018-11-28,TIK1,21.340000
2018-11-29,TIK1,21.430000
2018-11-30,TIK1,21.299999
2018-12-03,TIK1,23.709999
2018-12-04,TIK1,21.120001
2018-12-06,TIK1,21.299999
2018-12-07,TIK1,19.459999
2018-12-10,TIK1,19.990000
2018-12-11,TIK1,19.980000
2018-12-12,TIK1,20.480000
2018-12-13,TIK1,19.860001
2018-12-14,TIK1,19.900000
2018-12-17,TIK1,18.830000
2018-12-18,TIK1,19.500000
2018-12-19,TIK1,18.160000
2018-12-20,TIK1,17.940001
2018-12-21,TIK1,16.930000
2018-12-24,TIK1,16.650000
2018-12-26,TIK1,17.900000
2018-12-27,TIK1,17.490000
2018-12-28,TIK1,17.820000
2018-12-31,TIK1,18.459999
2019-01-02,TIK1,18.830000
2019-01-03,TIK1,17.049999
2019-01-04,TIK1,19.000000
